ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE;Geo Shape;Geo Point
1308.0;DEVE;;Jardin Casque d'Or;12 rue Michel de Bourges;75.0;75020;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;12 rue Michel de Bourges;120;4.0;6332;12;;RUE;MICHEL DE BOURGES;6332-12;;20.0;80.0;1;"{""type"": ""Point"", ""coordinates"": [2.401115456200054, 48.85421079630463]}";48.8542107963,2.4011154562
539.0;DEVE;67;;51 boulevard  de Picpus;75.0;75012;Fontaine ornementale;1.0;;;;;;;;51 boulevard  de Picpus;112;12.0;7401;51;;BD;PICPUS;7401-51;;12.0;46.0;0;"{""type"": ""Point"", ""coordinates"": [2.402109413199595, 48.844988849906244]}";48.8449888499,2.4021094132
1407.0;DVD;20/103;;32 Rue de Lagny;75.0;75020;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;32 Rue de Lagny;120;14.0;5266;32;;RUE;LAGNY;5266-32;;20.0;80.0;1;"{""type"": ""Point"", ""coordinates"": [2.402431976876229, 48.84907664493023]}";48.8490766449,2.40243197688
496.0;DEVE;;Square Van Vollenhoven;5 rue Marcel Dubois;75.0;75012;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;5 rue Marcel Dubois;112;4.0;6001;5;;RUE;MARCEL DUBOIS;6001-5;;12.0;45.0;1;"{""type"": ""Point"", ""coordinates"": [2.406991647312136, 48.83468888723124]}";48.8346888872,2.40699164731
761.0;EDP;54;;Place de l'Abbé Jean Leboeuf;75.0;75014;Wallace;1.0;Non;;Oui;Non;;;;pl de l Abbe Jean Leboeuf;114;11.0;0021;2;;PL;ABBE JEAN LEBEUF;0021-2;prob;0.0;0.0;1;"{""type"": ""Point"", ""coordinates"": [2.318928422085615, 48.8360479385236]}";48.8360479385,2.31892842209
1239.0;DEVE;;Square de la Marseillaise;rue de la Marseillaise;75.0;75019;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;rue de la Marseillaise;119;4.0;6120;1;;RUE;MARSEILLAISE;6120-1;prob;0.0;0.0;1;"{""type"": ""Point"", ""coordinates"": [2.3974732000218, 48.88722812566996]}";48.8872281257,2.39747320002
183.0;DDEEES;;Marché Port Royal;76 ter boulevard de Port Royal;75.0;75005;Borne marché;1.0;Non;Non;;;;;;76 ter boulevard de Port Royal;105;13.0;7740;76;T;BD;PORT ROYAL;7740-76T;prob;0.0;0.0;0;"{""type"": ""Point"", ""coordinates"": [2.341413204186229, 48.83862702880231]}";48.8386270288,2.34141320419
901.0;DEVE;128;Miroitements;place Raoul Dautry;75.0;75015;Fontaine ornementale;1.0;;;;;;;;pl Raoul Dautry;115;12.0;8034;1;;PL;RAOUL DAUTRY;8034-1;prob;0.0;0.0;0;"{""type"": ""Point"", ""coordinates"": [2.318499290239362, 48.84009181727921]}";48.8400918173,2.31849929024
1310.0;DEVE;;Square de la Salamandre;16 square Salamandre;75.0;75020;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;16 square Salamandre;120;4.0;8789;16;;SQ;SALAMANDRE;8789-16;prob;0.0;0.0;1;"{""type"": ""Point"", ""coordinates"": [2.405913934699469, 48.85790256489237]}";48.8579025649,2.4059139347
228.0;EDP;5;;136 rue de l'Université;75.0;75007;Borne-fontaine;1.0;Non;;Oui;Oui;;;;136 rue de l Universite;107;4.0;9527;136;;RUE;UNIVERSITE;9527-136;prob;0.0;0.0;1;"{""type"": ""Point"", ""coordinates"": [2.312008023978725, 48.861226212046795]}";48.861226212,2.31200802398
