,X,Y,X_dms,Y-dms,primaryind,nummer,brunnenart,historisch,wasserart_,bezeichnun,qid
132,8.527970496,47.39244901,"E8°31'40.69","N47°23'32.81",133,444,öffentlicher Brunnen,1942,Verteilnetz,,Q27230209
133,8.532834876,47.39820342,"E8°31'58.20","N47°23'53.53",134,302,öffentlicher Brunnen,1956,Verteilnetz,,Q27229877
134,8.519886064,47.39286912,"E8°31'11.58","N47°23'34.32",135,647,Brunnen in städtischer Liegenschaft,1955,Verteilnetz,Wasserspielplatz,Q27230074
135,8.531540482,47.39029165,"E8°31'53.54","N47°23'25.04",136,640.2,Brunnen in städtischer Liegenschaft,1938,Verteilnetz,Turnhalle und hinter Spielwiese,
136,8.533820612,47.38875293,"E8°32'1.754","N47°23'19.51",137,456.1,öffentlicher Brunnen,1928,Verteilnetz,Trinkbrunnen,
137,8.533686631,47.38867151,"E8°32'1.271","N47°23'19.21",138,456.2,öffentlicher Brunnen,1928,Verteilnetz,Trinkbrunnen,
138,8.533840837,47.38865753,"E8°32'1.827","N47°23'19.16",139,455,öffentlicher Brunnen,1929,Verteilnetz,Wasserspiel,
139,8.533092751,47.38922687,"E8°31'59.13","N47°23'21.21",140,637,Brunnen in städtischer Liegenschaft,1914,Verteilnetz,Schulhaus Letten Im Hofe,
140,8.53124988,47.38959022,"E8°31'52.49","N47°23'22.52",141,463,öffentlicher Brunnen,1955,Verteilnetz,Vorplatz Kirche Letten,
141,8.536050069,47.38658845,"E8°32'9.780","N47°23'11.71",142,1041,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Schindlergut,
142,8.536424988,47.39113577,"E8°32'11.12","N47°23'28.08",143,6031,Notwasserbrunnen,1980,Quellwasser,,
143,8.535540087,47.39317406,"E8°32'7.944","N47°23'35.42",144,269,öffentlicher Brunnen,1905,Quellwasser,,
144,8.52642948,47.39105612,"E8°31'35.14","N47°23'27.80",145,513,öffentlicher Brunnen,1904,Verteilnetz,Restaurant Rose,
145,8.524600116,47.39232051,"E8°31'28.56","N47°23'32.35",146,440,öffentlicher Brunnen,1883,Verteilnetz,,
146,8.495489498,47.37912398,"E8°29'43.76","N47°22'44.84",147,422,öffentlicher Brunnen,1936,Quellwasser,vav. Sportplatz Utogrund,Q27229956
147,8.495920883,47.37933682,"E8°29'45.31","N47°22'45.61",148,920.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Sportplatz Utogrund,
148,8.511266273,47.37944923,"E8°30'40.55","N47°22'46.01",149,241,öffentlicher Brunnen,1967,Verteilnetz,Bänkelsänger,Q27229993
149,8.512732419,47.3800465,"E8°30'45.83","N47°22'48.16",150,234.1,öffentlicher Brunnen,1933,Verteilnetz,,
150,8.511950907,47.37924126,"E8°30'43.02","N47°22'45.26",151,234.3,öffentlicher Brunnen,1933,Verteilnetz,,
151,8.514660896,47.38082614,"E8°30'52.77","N47°22'50.97",152,568.2,Brunnen in städtischer Liegenschaft,1918,Verteilnetz,Schulhaus Sihlfeld,
152,8.504368364,47.3799427,"E8°30'15.72","N47°22'47.79",153,564,öffentlicher Brunnen,1955,Verteilnetz,"Heiligfeld, beim Hügel",
153,8.503124457,47.38118886,"E8°30'11.24","N47°22'52.27",154,507,öffentlicher Brunnen,1930,Quellwasser,Tramwartehäuschen,
154,8.498725712,47.38496158,"E8°29'55.41","N47°23'5.861",155,1159,öffentlicher Brunnen,1991,Verteilnetz,,
155,8.535428612,47.38234782,"E8°32'7.543","N47°22'56.45",156,252.2,öffentlicher Brunnen,1930,Quellwasser,Trinkbrunnen,
156,8.532005084,47.38235058,"E8°31'55.21","N47°22'56.46",157,578,Brunnen in städtischer Liegenschaft,1964,Quellwasser,Gewerbeschulhaus,
157,8.532968144,47.38206672,"E8°31'58.68","N47°22'55.44",158,1030,Brunnen in städtischer Liegenschaft,1978,Verteilnetz,Im Hof,
158,8.526396155,47.38509248,"E8°31'35.02","N47°23'6.332",159,251,öffentlicher Brunnen,1929,Verteilnetz,,Q27229681
159,8.533422848,47.38343132,"E8°32'0.322","N47°23'0.352",160,248,öffentlicher Brunnen,1910,Quellwasser,,
160,8.53443487,47.38308753,"E8°32'3.965","N47°22'59.11",161,580.1,Brunnen in städtischer Liegenschaft,,Quellwasser,"Schulhaus Limmat, Im Hofe",
161,8.515056932,47.38004551,"E8°30'54.20","N47°22'48.16",162,769,privater Brunnen,1957,Verteilnetz,bei der Bullingerkirche,
162,8.51595785,47.37961892,"E8°30'57.44","N47°22'46.62",163,230,öffentlicher Brunnen,1929,Verteilnetz,Wasserspiel,
163,8.515164919,47.38116548,"E8°30'54.59","N47°22'52.19",164,568.1,Brunnen in städtischer Liegenschaft,1918,Quellwasser,Schulhaus Sihlfeld,
164,8.528879395,47.38189876,"E8°31'43.96","N47°22'54.83",165,1132,öffentlicher Brunnen,1991,Verteilnetz,,Q27229875
165,8.526298657,47.37997212,"E8°31'34.67","N47°22'47.89",166,216,privater Brunnen,1903,Quellwasser,,
166,8.52977007,47.38499654,"E8°31'47.17","N47°23'5.987",167,247,öffentlicher Brunnen,1909,Quellwasser,,
167,8.529032178,47.38577629,"E8°31'44.51","N47°23'8.794",168,577,Brunnen in städtischer Liegenschaft,1909,Verteilnetz,Im Hofe,
168,8.528294961,47.3852273,"E8°31'41.86","N47°23'6.818",169,246,öffentlicher Brunnen,1905,Verteilnetz,,
169,8.515995787,47.38255961,"E8°30'57.58","N47°22'57.21",170,567,Brunnen in städtischer Liegenschaft,,Quellwasser,Schulhaus Hard,
170,8.502791829,47.37755976,"E8°30'10.05","N47°22'39.21",171,207,öffentlicher Brunnen,1944,Verteilnetz,,
171,8.534009198,47.37581675,"E8°32'2.433","N47°22'32.94",172,221,öffentlicher Brunnen,,Verteilnetz,,
172,8.499011979,47.37815959,"E8°29'56.44","N47°22'41.37",173,6014,Notwasserbrunnen,1978,Quellwasser,Südecke Freibad,
173,8.506917157,47.37753017,"E8°30'24.90","N47°22'39.10",174,551,Brunnen in städtischer Liegenschaft,1933,Verteilnetz,Friedhof Sihlfeld D,
174,8.50625659,47.37867642,"E8°30'22.52","N47°22'43.23",175,1150,öffentlicher Brunnen,1991,Verteilnetz,Pilgerbrunnen,Q27230353
175,8.510178883,47.37382756,"E8°30'36.64","N47°22'25.77",176,552.2,Brunnen in städtischer Liegenschaft,1912,Verteilnetz,Friedhof Sihlfeld B,
176,8.495961756,47.37455734,"E8°29'45.46","N47°22'28.40",177,419,öffentlicher Brunnen,1932,Quellwasser,,Q27229934
177,8.509726187,47.37831893,"E8°30'35.01","N47°22'41.94",178,193,öffentlicher Brunnen,1929,Verteilnetz,Albisriederplatz,Q27229899
178,8.521054973,47.37608261,"E8°31'15.79","N47°22'33.89",179,239,öffentlicher Brunnen,1944,Verteilnetz,,Q27229963
179,8.52249241,47.37829913,"E8°31'20.97","N47°22'41.87",180,569,Brunnen in städtischer Liegenschaft,,Quellwasser,Schulhaus Feldstrasse,
180,8.516499948,47.37544924,"E8°30'59.39","N47°22'31.61",181,231,öffentlicher Brunnen,1929,Quellwasser,,
181,8.512822232,47.37285204,"E8°30'46.16","N47°22'22.26",182,1105,öffentlicher Brunnen,1985,Verteilnetz,,
182,8.514548738,47.37427051,"E8°30'52.37","N47°22'27.37",183,192,öffentlicher Brunnen,1929,Verteilnetz,,Q27230181
183,8.512910207,47.37671927,"E8°30'46.47","N47°22'36.18",184,174,öffentlicher Brunnen,1919,Quellwasser,Fritschiwiese,Q27230164
184,8.513401376,47.37859605,"E8°30'48.24","N47°22'42.94",185,234.2,öffentlicher Brunnen,1933,Verteilnetz,,
185,8.538607789,47.37400773,"E8°32'18.98","N47°22'26.42",186,7,öffentlicher Brunnen,1566,Quellwasser,Herkulesbrunnen,Q27132067
186,8.538008572,47.37483453,"E8°32'16.83","N47°22'29.40",187,42,öffentlicher Brunnen,1986,Verteilnetz,Brunnenwibli,Q27230013
187,8.523318166,47.37588651,"E8°31'23.94","N47°22'33.19",188,1076,öffentlicher Brunnen,1944,Verteilnetz,,
